,Unnamed: 0,agency_name,broker_id,score,property_fee,house_count,building_count,floor,price,rent_type,pay_type,direction,room_type,is_broker,floor_total,complete_time,hall_num,room_num,area,toilet_num, 公交, 医院, 地铁, 学校, 旅游景点, 美食, 购物, 酒店, 银行,distance1000,distance1500,distance2000,distance500,crawl_time,decoration,district,zone,facilities
0,29,21世纪,fang_2229380,69.25,0.8,1371.0,14.0,中,2300.0,合租,"(押一付三 - 租房贷) 分期付,0压力 月供:835.67 元 利息:69 我要申请",北,次,1.0,6.0,1952.0,1.0,2.0,18.0,1.0,20.0,20.0,7.0,20.0,20.0,20.0,20.0,20.0,20.0,86.0,75.0,101.0,85.0,101,中,海淀,公主坟,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
1,89,21世纪安家易居,,18.32,2.08,602.0,2.0,,1600.0,合租,付八,北,次,0.0,4.0,2002.0,1.0,3.0,10.0,1.0,20.0,20.0,,20.0,20.0,20.0,20.0,20.0,20.0,78.0,84.0,34.0,57.0,88,中,海淀,甘家口,可做饭|阳台|独立卫生间
2,171,21世纪安信瑞德58_530,fang_2229380,35.63,1.1至2.5,868.0,7.0,高,2000.0,合租,,北,次,1.0,6.0,2003.0,1.0,3.0,16.0,1.0,20.0,16.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,88.0,44.0,86.0,110.0,71,中,海淀,万寿路,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
3,234,21世纪不动产,fang_2043788,39.58,,225.0,4.0,中,1600.0,合租,年付,北,次,1.0,19.0,1974.0,2.0,5.0,18.0,2.0,20.0,5.0,5.0,20.0,20.0,20.0,20.0,20.0,20.0,47.0,34.0,55.0,68.0,58,豪,海淀,交通大学,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
4,274,21世纪不动产_D101,,25.68,,367.0,4.0,低,2600.0,合租,押一付六,北,次,0.0,6.0,2000.0,1.0,2.0,20.0,1.0,20.0,20.0,2.0,20.0,20.0,20.0,20.0,20.0,20.0,141.0,90.0,30.0,42.0,50,中,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭
5,418,21世纪不动产安家易居,,28.59,,50.0,2.0,中,900.0,合租,押零付三,北,次,0.0,6.0,2001.0,1.0,3.0,10.0,1.0,20.0,20.0,8.0,20.0,20.0,20.0,20.0,20.0,20.0,160.0,122.0,41.0,100.0,20,简,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
6,448,21世纪不动产安居阳光,fang_2243908,58.52,,803.0,15.0,高,1800.0,合租,押一付三,北,次,1.0,6.0,1990.0,1.0,3.0,15.0,1.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,20.0,20.0,161.0,76.0,45.0,77.0,14,中,海淀,二里庄,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
7,450,21世纪不动产安信瑞城,,30.02,,208.0,2.0,中,2000.0,合租,押零付三,北,次,1.0,15.0,1990.0,1.0,3.0,20.0,1.0,20.0,20.0,4.0,20.0,18.0,20.0,20.0,20.0,20.0,160.0,96.0,26.0,81.0,13,中,海淀,田村,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
8,103,21世纪不动产百鑫地产,fang_2185109,30.17,2.52,741.0,6.0,中,999.0,合租,押二付十二,朝东,次,1.0,6.0,2001.0,1.0,3.0,15.0,1.0,20.0,20.0,14.0,20.0,20.0,20.0,20.0,20.0,20.0,85.0,60.0,92.0,72.0,86,中,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
9,46,21世纪不动产百信安德,,45.82,1,417.0,5.0,高,1700.0,合租,(押一付三),朝东南,次,1.0,8.0,1988.0,1.0,3.0,26.0,1.0,20.0,20.0,3.0,20.0,20.0,20.0,20.0,20.0,20.0,110.0,99.0,92.0,19.0,97,简,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
10,77,,,43.94,1.8,1165.0,9.0,高,1700.0,合租,不限,朝南,次,0.0,6.0,2010.0,0.0,1.0,16.0,1.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,20.0,20.0,151.0,135.0,58.0,49.0,91,简,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
11,93,,,32.61,2.16,1319.0,17.0,低,1100.0,合租,押一年付,朝西,次,1.0,15.0,2010.0,1.0,3.0,13.0,1.0,20.0,20.0,2.0,20.0,20.0,20.0,20.0,20.0,20.0,113.0,91.0,57.0,59.0,88,中,海淀,四季青,热水器|洗衣机|冰箱|床|沙发|衣柜|宽带网|可做饭
12,50,,fang_2154024,39.56,1,285.0,3.0,高,1700.0,合租,,东,次,1.0,22.0,2013.0,1.0,3.0,15.0,1.0,20.0,20.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,132.0,107.0,64.0,74.0,97,豪,海淀,双榆树,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网|可做饭
13,200,,fang_2207164,5.83,,13.0,5.0,高,2690.0,合租,押一付四,东,次,1.0,21.0,,1.0,3.0,8.0,1.0,20.0,20.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,127.0,99.0,35.0,52.0,65,精,海淀,北太平庄,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
14,264,,fang_2233721,39.1,,18.0,1.0,中,950.0,合租,押一付十二,东,次,1.0,6.0,,1.0,3.0,12.0,1.0,20.0,8.0,3.0,20.0,20.0,20.0,20.0,20.0,20.0,90.0,76.0,56.0,38.0,52,豪,海淀,马连洼,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
15,333,,fang_2233721,75.71,,264.0,11.0,中,900.0,合租,押一付十二,东,次,1.0,6.0,2006.0,1.0,3.0,12.0,1.0,20.0,20.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,89.0,68.0,73.0,65.0,38,精,海淀,上地,热水器|床|衣柜|宽带网|可做饭|独立卫生间
16,462,21世纪不动产华盛百利,fang_554681,29.17,,1076.0,13.0,中,1850.0,合租,押零付一,东,次,1.0,18.0,1990.0,1.0,3.0,18.0,1.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,20.0,20.0,109.0,75.0,150.0,51.0,11,中,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
