,Unnamed: 0,agency_name,broker_id,score,property_fee,house_count,building_count,floor,price,rent_type,pay_type,direction,room_type,is_broker,floor_total,complete_time,hall_num,room_num,area,toilet_num, 公交, 医院, 地铁, 学校, 旅游景点, 美食, 购物, 酒店, 银行,distance1000,distance1500,distance2000,distance500,crawl_time,decoration,district,zone,facilities
0,29,21世纪,fang_2229380,69.25,0.8,1371.0,14.0,中,2300.0,合租,其他,北,次,1.0,6.0,1952.0,1.0,2.0,18.0,1.0,20.0,20.0,7.0,20.0,20.0,20.0,20.0,20.0,20.0,86.0,75.0,101.0,85.0,2018/1/6 13:00,中,海淀,公主坟,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
1,89,21世纪,,18.32,2.08,602.0,2.0,,1600.0,合租,押二付半年,北,次,0.0,4.0,2002.0,1.0,3.0,10.0,1.0,20.0,20.0,,20.0,20.0,20.0,20.0,20.0,20.0,78.0,84.0,34.0,57.0,2018/1/19 1:00,中,海淀,甘家口,可做饭|阳台|独立卫生间
2,234,21世纪,fang_2043788,39.58,,225.0,4.0,中,1600.0,合租,年付,北,次,1.0,19.0,1974.0,2.0,5.0,18.0,2.0,20.0,5.0,5.0,20.0,20.0,20.0,20.0,20.0,20.0,47.0,34.0,55.0,68.0,2018/2/18 6:00,豪,海淀,交通大学,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
3,274,21世纪,,25.68,,367.0,4.0,低,2600.0,合租,押一付半年,北,次,0.0,6.0,2000.0,1.0,2.0,20.0,1.0,20.0,20.0,2.0,20.0,20.0,20.0,20.0,20.0,20.0,141.0,90.0,30.0,42.0,2018/2/26 14:00,中,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭
4,418,21世纪,,28.59,,50.0,2.0,中,900.0,合租,押零付三,北,次,0.0,6.0,2001.0,1.0,3.0,10.0,1.0,20.0,20.0,8.0,20.0,20.0,20.0,20.0,20.0,20.0,160.0,122.0,41.0,100.0,2018/3/28 14:00,简,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
5,448,21世纪,fang_2243908,58.52,,803.0,15.0,高,1800.0,合租,押一付三,北,次,1.0,6.0,1990.0,1.0,3.0,15.0,1.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,20.0,20.0,161.0,76.0,45.0,77.0,2018/4/3 20:00,中,海淀,二里庄,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
6,450,21世纪,,30.02,,208.0,2.0,中,2000.0,合租,押零付三,北,次,1.0,15.0,1990.0,1.0,3.0,20.0,1.0,20.0,20.0,4.0,20.0,18.0,20.0,20.0,20.0,20.0,160.0,96.0,26.0,81.0,2018/4/4 6:00,中,海淀,田村,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
7,103,21世纪,fang_2185109,30.17,2.52,741.0,6.0,中,999.0,合租,押二付年,朝东,次,1.0,6.0,2001.0,1.0,3.0,15.0,1.0,20.0,20.0,14.0,20.0,20.0,20.0,20.0,20.0,20.0,85.0,60.0,92.0,72.0,2018/1/21 23:00,中,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
8,46,21世纪,,45.82,1,417.0,5.0,高,1700.0,合租,押一付三,朝东南,次,1.0,8.0,1988.0,1.0,3.0,26.0,1.0,20.0,20.0,3.0,20.0,20.0,20.0,20.0,20.0,20.0,110.0,99.0,92.0,19.0,2018/1/10 2:00,简,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
9,462,21世纪,fang_554681,29.17,,1076.0,13.0,中,1850.0,合租,押零付一,东,次,1.0,18.0,1990.0,1.0,3.0,18.0,1.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,20.0,20.0,109.0,75.0,150.0,51.0,2018/4/6 18:00,中,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
10,78,21世纪,fang_1873796,25.81,1.8,277.0,1.0,中,2200.0,合租,押三付半年,东北,次,1.0,16.0,2005.0,1.0,3.0,15.0,1.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,20.0,20.0,122.0,45.0,91.0,57.0,2018/1/16 18:00,中,海淀,定慧寺,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
11,26,21世纪,fang_2233716,31.59,0.7,834.0,14.0,中,1200.0,合租,押一付四,南,次,1.0,6.0,1983.0,,3.0,15.0,1.0,20.0,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,106.0,94.0,122.0,73.0,2018/1/5 22:00,精,海淀,马连洼,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
12,30,21世纪,fang_2248662,42.31,0.8,1417.0,14.0,中,1750.0,合租,押零付三,南,次,1.0,23.0,1979.0,1.0,3.0,17.0,1.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,20.0,20.0,175.0,61.0,22.0,71.0,2018/1/6 18:00,精,海淀,安宁庄,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台
13,36,21世纪,fang_2146206,35.42,0.96,388.0,7.0,低,1500.0,合租,押一付年,南,次,1.0,23.0,2004.0,1.0,1.0,19.0,1.0,20.0,20.0,,20.0,20.0,20.0,20.0,20.0,20.0,110.0,112.0,58.0,60.0,2018/1/8 0:00,精,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
14,135,21世纪,,28.18,6.5,1234.0,4.0,中,1400.0,合租,押二付二,南,次,1.0,12.0,2008.0,1.0,3.0,16.0,1.0,20.0,19.0,3.0,20.0,20.0,20.0,20.0,20.0,20.0,79.0,73.0,45.0,79.0,2018/1/28 15:00,中,海淀,苏州桥,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
15,142,21世纪,fang_2011858,31.04,0.4至0.61,330.0,6.0,中,1500.0,合租,其他,南,次,1.0,20.0,1998.0,1.0,2.0,18.0,1.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,20.0,20.0,109.0,112.0,43.0,53.0,2018/1/30 2:00,精,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
16,145,21世纪,,22.17,0.58至1,234.0,6.0,中,1550.0,合租,押零付半年,南,次,1.0,6.0,1994.0,1.0,3.0,18.0,1.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,112.0,100.0,78.0,22.0,2018/1/30 17:00,中,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
17,180,21世纪,fang_2185111,10.17,1.5至1.8,1549.0,11.0,低,800.0,合租,押二付年,南,次,1.0,6.0,1990.0,1.0,3.0,15.0,1.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,20.0,20.0,93.0,98.0,76.0,56.0,2018/2/7 0:00,中,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台
18,186,21世纪,fang_1298305,26.71,1.95至3.8,622.0,6.0,高,1650.0,合租,押一付一,南,次,1.0,6.0,1996.0,1.0,3.0,22.0,1.0,20.0,14.0,,20.0,6.0,20.0,20.0,20.0,20.0,28.0,32.0,134.0,5.0,2018/2/8 6:00,中,海淀,世纪城,床
19,197,21世纪,,47.08,2至5,2473.0,15.0,中,1100.0,合租,押零付半年,南,次,1.0,15.0,2006.0,1.0,2.0,18.0,1.0,20.0,20.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,62.0,73.0,61.0,120.0,2018/2/10 13:00,精,海淀,西北旺,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
20,203,21世纪,fang_2185111,28.74,,12.0,3.0,低,1400.0,合租,其他,南,次,1.0,6.0,,1.0,3.0,18.0,1.0,20.0,5.0,6.0,19.0,20.0,20.0,20.0,20.0,20.0,73.0,86.0,65.0,12.0,2018/2/11 19:00,中,海淀,二里庄,床
21,208,21世纪,fang_2171270,18.67,,88.0,1.0,低,1500.0,合租,押零付半年,南,次,1.0,6.0,1958.0,1.0,3.0,18.0,1.0,20.0,20.0,,20.0,20.0,20.0,20.0,20.0,20.0,112.0,107.0,35.0,61.0,2018/2/12 20:00,精,海淀,厂洼,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭
22,213,21世纪,fang_1848858,49.1,,13.0,4.0,中,1300.0,合租,押二付一,南,次,1.0,23.0,,1.0,3.0,17.0,1.0,20.0,20.0,3.0,20.0,11.0,20.0,20.0,20.0,20.0,112.0,93.0,36.0,69.0,2018/2/13 21:00,精,海淀,花园桥,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
23,214,21世纪,fang_69746,23.96,,54.0,1.0,低,2000.0,合租,押一付半年,南,次,1.0,6.0,,1.0,3.0,23.0,1.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,20.0,20.0,106.0,86.0,98.0,70.0,2018/2/14 2:00,精,海淀,定慧寺,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
24,221,21世纪,fang_2151414,36.71,,10.0,4.0,中,1250.0,合租,押一付三,南,次,1.0,6.0,1980.0,1.0,2.0,15.0,1.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,20.0,20.0,127.0,69.0,85.0,61.0,2018/2/15 13:00,中,海淀,白石桥,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
25,225,21世纪,fang_1919781,41.62,,144.0,2.0,低,1980.0,合租,押二付三,南,次,1.0,6.0,1980.0,1.0,3.0,22.0,1.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,20.0,20.0,148.0,98.0,65.0,47.0,2018/2/16 9:00,精,海淀,二里庄,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|可做饭|阳台|独立卫生间
26,229,22世纪,fang_1412465,35.0,,14.0,5.0,中,1600.0,合租,其他,南,次,1.0,25.0,,1.0,3.0,15.0,1.0,20.0,20.0,7.0,20.0,20.0,20.0,20.0,20.0,20.0,132.0,66.0,76.0,75.0,2018/2/17 5:00,精,海淀,大钟寺,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
27,241,517不动产,fang_2171251,48.9,,529.0,3.0,中,2000.0,合租,押一付四,南,次,1.0,6.0,1958.0,1.0,3.0,25.0,1.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,123.0,107.0,44.0,70.0,2018/2/19 17:00,简,海淀,白石桥,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
28,253,A房不动产,fang_2047282,52.64,,316.0,2.0,中,1550.0,合租,押零付三,南,次,1.0,6.0,1989.0,1.0,3.0,20.0,1.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,125.0,66.0,47.0,78.0,2018/2/22 5:00,豪,海淀,北太平庄,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
29,258,e城青年公,fang_1136316,3.5,,126.0,1.0,低,1200.0,合租,押二付二,南,次,1.0,6.0,1990.0,1.0,3.0,16.0,1.0,20.0,16.0,7.0,20.0,20.0,20.0,20.0,20.0,20.0,77.0,143.0,107.0,30.0,2018/2/23 6:00,中,海淀,牡丹园,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
30,259,QA测试,fang_2189423,13.31,,108.0,2.0,中,1050.0,合租,押零付半年,南,次,1.0,6.0,1987.0,1.0,4.0,10.0,1.0,20.0,20.0,5.0,20.0,20.0,20.0,20.0,20.0,20.0,117.0,99.0,40.0,50.0,2018/2/23 11:00,中,海淀,马连洼,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
31,260,Q房网,fang_2175343,42.5,,147.0,3.0,中,1800.0,合租,押一付半年,南,次,1.0,30.0,1990.0,1.0,2.0,18.0,1.0,20.0,19.0,5.0,20.0,17.0,20.0,20.0,20.0,20.0,64.0,84.0,111.0,61.0,2018/2/23 16:00,中,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
32,265,SOHO中国,fang_2142294,57.64,,296.0,5.0,低,1800.0,合租,其他,南,次,1.0,6.0,1988.0,1.0,2.0,21.0,1.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,110.0,134.0,39.0,32.0,2018/2/24 17:00,精,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台
33,272,哎窝公寓,fang_2137971,37.43,,76.0,2.0,低,1100.0,合租,押一付年,南,次,1.0,21.0,,1.0,1.0,15.0,1.0,20.0,20.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,142.0,79.0,36.0,52.0,2018/2/26 4:00,精,海淀,清河,
34,273,埃菲特国,fang_2171265,52.29,,90.0,2.0,低,1600.0,合租,押零付半年,南,次,1.0,12.0,,1.0,3.0,20.0,1.0,20.0,20.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,107.0,116.0,40.0,67.0,2018/2/26 9:00,简,海淀,人民大学,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
35,281,艾迪城租,fang_1643287,23.07,,1058.0,16.0,中,2300.0,合租,押二付三,南,次,1.0,6.0,1995.0,1.0,1.0,17.0,1.0,20.0,20.0,5.0,20.0,20.0,20.0,20.0,20.0,20.0,111.0,84.0,41.0,77.0,2018/2/28 1:00,中,海淀,马连洼,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
36,282,艾迪城租,fang_2252286,0.0,,1.0,1.0,低,850.0,合租,押一付三,南,次,1.0,6.0,,1.0,2.0,20.0,1.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,20.0,20.0,109.0,71.0,67.0,71.0,2018/2/28 6:00,中,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台
37,284,艾瑞创世,,39.69,,240.0,3.0,低,1650.0,合租,押一付二,南,次,1.0,20.0,2001.0,1.0,2.0,12.0,1.0,20.0,20.0,3.0,20.0,20.0,20.0,20.0,20.0,20.0,124.0,50.0,49.0,77.0,2018/2/28 16:00,精,海淀,清河,热水器|床|衣柜|暖气|宽带网|可做饭|独立卫生间
38,289,爱巢伟业,fang_2005908,34.95,,105.0,1.0,中,1500.0,合租,押零付一,南,次,1.0,20.0,2002.0,1.0,3.0,25.0,2.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,20.0,20.0,82.0,47.0,69.0,79.0,2018/3/1 17:00,简,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
39,296,爱房地产,,55.08,,122.0,1.0,中,1400.0,合租,年付,南,次,0.0,18.0,1990.0,1.0,1.0,12.0,1.0,20.0,20.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,80.0,73.0,36.0,97.0,2018/3/3 4:00,精,海淀,清河,
40,300,爱房房地,fang_2229357,35.84,,102.0,87.0,低,1700.0,合租,押一付年,南,次,1.0,6.0,1992.0,1.0,3.0,16.0,1.0,20.0,20.0,4.0,20.0,18.0,20.0,20.0,20.0,20.0,149.0,196.0,22.0,81.0,2018/3/4 0:00,豪,海淀,航天桥,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭
41,327,爱个家,fang_2011858,27.21,,276.0,8.0,中,1150.0,合租,押二付二,南,次,1.0,6.0,,1.0,2.0,22.0,1.0,20.0,20.0,8.0,20.0,20.0,20.0,20.0,20.0,20.0,157.0,88.0,51.0,30.0,2018/3/9 15:00,中,海淀,马连洼,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
42,330,爱个家,,29.17,,180.0,5.0,低,2000.0,合租,押二付年,南,次,1.0,9.0,,1.0,3.0,20.0,1.0,20.0,12.0,5.0,20.0,15.0,20.0,20.0,20.0,20.0,111.0,73.0,93.0,52.0,2018/3/10 6:00,中,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
43,332,爱佳心仪,,27.86,,322.0,6.0,中,2500.0,合租,押一付一,南,次,1.0,12.0,1984.0,1.0,3.0,23.0,1.0,20.0,20.0,9.0,20.0,14.0,20.0,20.0,20.0,20.0,108.0,67.0,76.0,34.0,2018/3/10 16:00,精,海淀,车道沟,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
44,335,爱佳心仪,fang_2126950,19.98,,1253.0,22.0,中,1200.0,合租,押零付三,南,次,1.0,16.0,,1.0,2.0,16.0,1.0,20.0,20.0,7.0,20.0,17.0,20.0,20.0,20.0,20.0,125.0,54.0,72.0,41.0,2018/3/11 7:00,中,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
45,339,爱家房产,fang_2191328,7.69,,102.0,28.0,中,2000.0,合租,押零付半年,南,次,1.0,15.0,2016.0,1.0,2.0,15.0,1.0,20.0,20.0,7.0,20.0,20.0,20.0,20.0,20.0,20.0,104.0,64.0,130.0,65.0,2018/3/12 3:00,精,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
46,346,爱家房产,fang_2112214,52.98,,472.0,28.0,高,1300.0,合租,押零付年,南,次,1.0,27.0,1985.0,1.0,4.0,13.0,1.0,20.0,20.0,7.0,20.0,20.0,20.0,20.0,20.0,20.0,135.0,89.0,40.0,43.0,2018/3/13 14:00,简,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
47,351,爱家房产,fang_2239864,24.56,,647.0,17.0,中,750.0,合租,押一付三,南,次,1.0,6.0,1956.0,1.0,3.0,15.0,1.0,20.0,20.0,2.0,20.0,20.0,20.0,20.0,20.0,20.0,106.0,83.0,46.0,16.0,2018/3/14 15:00,中,海淀,田村,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台
48,357,爱家房产,fang_2191328,51.15,,204.0,51.0,中,1500.0,合租,押零付三,南,次,1.0,6.0,,1.0,2.0,16.0,1.0,20.0,20.0,,20.0,20.0,20.0,20.0,20.0,20.0,149.0,86.0,62.0,61.0,2018/3/15 21:00,中,海淀,田村,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
49,359,爱家立业,fang_2234993,51.03,,4.0,1.0,低,2000.0,合租,押零付半年,南,次,1.0,30.0,,1.0,2.0,25.0,1.0,20.0,12.0,,20.0,20.0,20.0,20.0,16.0,20.0,141.0,119.0,25.0,91.0,2018/3/16 7:00,精,海淀,北大清华,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
50,384,爱居天地,fang_2185115,26.08,,144.0,1.0,低,2000.0,合租,押零付一,南,次,1.0,6.0,1990.0,1.0,3.0,18.0,1.0,20.0,20.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,159.0,75.0,57.0,39.0,2018/3/21 12:00,精,海淀,二里庄,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|可做饭|阳台|独立卫生间
51,391,爱尚家,fang_2233819,53.57,,4.0,1.0,,750.0,合租,押零付一,南,次,1.0,4.0,,1.0,3.0,15.0,1.0,20.0,20.0,7.0,20.0,20.0,20.0,20.0,20.0,20.0,84.0,72.0,157.0,58.0,2018/3/22 23:00,精,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
52,416,爱屋,,25.98,,298.0,185.0,高,1800.0,合租,押零付三,南,次,0.0,25.0,1991.0,1.0,3.0,18.0,1.0,20.0,20.0,5.0,20.0,20.0,20.0,20.0,20.0,20.0,64.0,120.0,122.0,11.0,2018/3/28 4:00,简,海淀,大钟寺,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
53,422,爱屋吉屋,fang_2185114,66.85,,71.0,1.0,低,1800.0,合租,押零付半年,南,次,1.0,6.0,,1.0,3.0,22.0,1.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,20.0,20.0,120.0,82.0,64.0,92.0,2018/3/29 10:00,简,海淀,马连洼,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
54,429,爱屋吉屋,,58.39,,649.0,8.0,低,1200.0,合租,押零付三,南,次,1.0,6.0,1980.0,1.0,2.0,17.0,1.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,20.0,20.0,94.0,76.0,42.0,89.0,2018/3/30 21:00,精,海淀,人民大学,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
55,430,爱屋吉屋,fang_2202916,23.21,,2021.0,24.0,低,2000.0,合租,押零付半年,南,次,1.0,20.0,1992.0,1.0,3.0,20.0,1.0,20.0,20.0,3.0,20.0,15.0,20.0,20.0,20.0,20.0,105.0,106.0,70.0,47.0,2018/3/31 2:00,精,海淀,世纪城,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
56,432,爱屋吉屋,fang_2134106,30.58,,1038.0,18.0,中,1500.0,合租,押零付半年,南,次,1.0,12.0,1986.0,1.0,3.0,12.0,1.0,20.0,20.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,81.0,117.0,72.0,90.0,2018/3/31 12:00,中,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
57,435,爱屋吉屋,fang_1388014,15.12,,168.0,2.0,中,1314.0,合租,押零付半年,南,次,1.0,6.0,2002.0,2.0,3.0,21.0,2.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,20.0,20.0,117.0,97.0,67.0,104.0,2018/4/1 3:00,精,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
58,451,爱屋吉屋,fang_2233812,31.0,,1026.0,3.0,高,2600.0,合租,押零付一,南,次,1.0,17.0,2007.0,1.0,3.0,30.0,1.0,20.0,20.0,4.0,20.0,20.0,20.0,20.0,20.0,20.0,123.0,91.0,34.0,74.0,2018/4/4 11:00,中,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
59,453,爱屋世纪,fang_1575755,27.07,,180.0,2.0,中,1500.0,合租,其他,南,次,1.0,6.0,2003.0,1.0,2.0,15.0,1.0,20.0,13.0,,20.0,20.0,20.0,20.0,16.0,20.0,131.0,48.0,21.0,126.0,2018/4/4 21:00,精,海淀,定慧寺,
60,459,爱喜家,,18.48,,90.0,1.0,低,2000.0,合租,押零付十一,南,次,1.0,6.0,1984.0,1.0,3.0,25.0,1.0,20.0,20.0,5.0,20.0,20.0,20.0,20.0,20.0,20.0,126.0,116.0,36.0,63.0,2018/4/6 3:00,中,海淀,魏公村,电视|热水器|冰箱|床|沙发|衣柜|暖气|可做饭|独立卫生间
61,463,爱喜家,,21.94,,74.0,2.0,低,1400.0,合租,押零付年,南,次,1.0,6.0,,0.0,3.0,15.0,1.0,20.0,13.0,,20.0,20.0,20.0,20.0,16.0,20.0,141.0,54.0,46.0,110.0,2018/4/6 23:00,中,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
62,481,爱心龙辉,fang_2236796,56.1,,48.0,1.0,中,1600.0,合租,押零付一,南,次,1.0,12.0,,1.0,3.0,20.0,1.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,20.0,20.0,87.0,87.0,101.0,67.0,2018/4/10 17:00,精,海淀,四季青,热水器|暖气|可做饭|阳台|独立卫生间
63,482,爱心龙辉,fang_2112214,50.69,,919.0,7.0,高,1300.0,合租,押一付半年,南,次,1.0,27.0,2006.0,1.0,4.0,13.0,1.0,20.0,20.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,184.0,87.0,44.0,22.0,2018/4/10 22:00,中,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
64,485,爱心龙辉,fang_2011854,34.05,,216.0,3.0,中,2500.0,合租,押零付一,南,次,1.0,6.0,1980.0,1.0,3.0,28.0,1.0,20.0,20.0,5.0,20.0,20.0,20.0,20.0,20.0,20.0,110.0,82.0,95.0,56.0,2018/4/11 13:00,精,海淀,人民大学,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
