agency_name,broker_id,score,property_fee,house_count,building_count,floor,price,rent_type,pay_type,direction,room_type,is_broker,floor_total,complete_time,hall_num,room_num,area,toilet_num, 公交, 医院, 地铁, 学校, 旅游景点, 美食, 购物, 酒店, 银行,distance1000,distance1500,distance2000,distance500,crawl_time,decoration,district,zone,facilities
链家地产,fang_2228214,47,0.1,492,9,低,6000,整租,押三付六,东北,,1,16,1987,1,2,54,1,20,20,5,20,20,20,,20,20,41,90,134,20,2017/12/31 12:00,NULL,海淀,牡丹园,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
国泰大成,fang_2205907,,0.3,84,1,低,,整租,(押一付三 ),南北,,1,9,1979,2,3,142,2,20,20,,20,,20,,20,20,68,56,82,108,2017/12/31 17:00,,海淀,田村,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
鹏基伟业房地产,fang_2047282,,0.5,160,3,,1430,合租,可支持分期月付,南,次,1,6,,1,3,19,1,,20,7,20,,20,,20,,109,121,72,,2017/12/31 22:00,简装,海淀,马连洼,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
我爱我家,fang_1432079,,0.5,69,3,,6000,整租,押二付一,南北,,1,,,1,2,0,1,,10,,20,,20,20,13,,63,,62,,2018/1/1 3:00,精装,海淀,牡丹园,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
,,,0.5,356,3,高,1900,,押零付十二,暗间,隔断,0,120,,2,,0,2,20,20,16,20,20,20,20,20,,103,,88,63,,未知,海淀,白石桥,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
,,,0.5,1032,17,高,2430,租房类型,付五,暗间,主,1,,,1,,0,1,20,,6,20,17,,20,20,20,94,,79,80,,中装,海淀,北洼路,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|可做饭|阳台|独立卫生间
我爱我家,fang_2065880,,0.5,144,2,高,4300,租房类型,押二付年,暗间,,1,6,,1,1,41,1,20,,7,20,19,,20,20,20,81,,72,99,,豪,海淀,车道沟,床
北京宏天伟业房地产经纪有限公司,fang_1225009,,0.5,312,6,低,2500,租房类型,押0付11,南,,,120,,1,3,28,1,20,,11,20,20,,20,20,20,139,120,,38,,精,海淀,五棵松,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
,,41.8,0.5,,3,,5200,,"(押一付一) 分期付,0压力 月供:436 元 利息:36 我要申请",南,次卧次卧,,120,1986,1,2,41,1,20,20,6,20,20,20,20,20,20,132,141,,34,,简,海淀,公主坟,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
链家地产,fang_2228153,31.48,0.5,,1,低,5500,,(押一付半年),西,次卧次卧,1,6,2020,1,1,36,1,20,20,7,20,20,20,20,,20,82,92,,98,2018/1/2 9:00,普装,海淀,人民大学,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
