,direction_东,direction_东北,direction_东南,direction_东西,direction_北,direction_南,direction_南北,direction_朝东,direction_朝东北,direction_朝东南,direction_朝北,direction_朝南,direction_朝西,direction_朝西北,direction_朝西南,direction_西,direction_西北,direction_西南,direction_nan,district_海淀,district_nan,rent_type_合租,rent_type_整租,rent_type_nan,room_type_主,room_type_次,room_type_隔断,room_type_nan,zone_万寿路,zone_万柳,zone_上地,zone_世纪城,zone_二里庄,zone_五棵松,zone_五道口,zone_交通大学,zone_人民大学,zone_公主坟,zone_军博,zone_北大清华,zone_北太平庄,zone_北洼路,zone_北航,zone_厂洼,zone_双榆树,zone_四季青,zone_大钟寺,zone_安宁庄,zone_定慧寺,zone_明光桥,zone_清河,zone_温泉,zone_牡丹园,zone_甘家口,zone_田村,zone_白石桥,zone_航天桥,zone_花园桥,zone_苏州桥,zone_苏州街,zone_蓟门桥,zone_西三旗,zone_西二旗,zone_西北旺,zone_车道沟,zone_马甸,zone_马连洼,zone_魏公村,zone_nan,pay_type_不限,pay_type_其他,pay_type_年付,pay_type_押一付一,pay_type_押一付三,pay_type_押一付二,pay_type_押一付十一,pay_type_押一付半年,pay_type_押一付四,pay_type_押一付年,pay_type_押三付一,pay_type_押三付三,pay_type_押三付二,pay_type_押三付半年,pay_type_押三付四,pay_type_押三付年,pay_type_押二付一,pay_type_押二付三,pay_type_押二付二,pay_type_押二付五,pay_type_押二付半年,pay_type_押二付四,pay_type_押二付年,pay_type_押零付一,pay_type_押零付三,pay_type_押零付二,pay_type_押零付十一,pay_type_押零付半年,pay_type_押零付年,pay_type_面议,pay_type_nan,微波炉, 美食,decoration, 旅游景点,distance1000,floor,床,热水器, 购物,complete_time,is_broker,building_count,score,独立卫生间,冰箱,洗衣机,Unnamed: 0,可做饭, 地铁,facilities_null, 银行,宽带网,toilet_num, 酒店,price,crawl_time,沙发,暖气, 学校,property_fee,衣柜, 医院,hall_num,house_count,distance500,room_num,distance2000,distance1500,电视,阳台,area, 公交,空调,floor_total,one_room_area,one_area_price
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0,3,20.0,86.0,2,1,1,20.0,2.0,1.0,14.0,69.25,1,1,1,29,1,7.0,0,20.0,1,1.0,20.0,2300.0,101,1,1,20.0,0.8,1,20.0,1.0,1371.0,85.0,2.0,101.0,75.0,1,1,18.0,20.0,1,6.0,9,128
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.0,3,20.0,85.0,2,1,1,20.0,51.0,1.0,6.0,30.17,1,1,1,103,1,14.0,0,20.0,1,1.0,20.0,999.0,86,1,1,20.0,2.52,1,20.0,1.0,741.0,72.0,3.0,92.0,60.0,1,1,15.0,20.0,1,6.0,5,67
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,2,20.0,110.0,3,1,1,20.0,38.0,1.0,5.0,45.82,1,1,1,46,1,3.0,0,20.0,1,1.0,20.0,1700.0,97,1,1,20.0,1.0,1,20.0,1.0,417.0,19.0,3.0,92.0,99.0,1,1,26.0,20.0,1,8.0,9,65
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,2,20.0,151.0,3,1,1,20.0,60.0,0.0,9.0,43.94,1,1,1,77,1,9.0,0,20.0,1,1.0,20.0,1700.0,91,1,1,20.0,1.8,1,20.0,0.0,1165.0,49.0,1.0,58.0,135.0,1,1,16.0,20.0,1,6.0,16,106
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,3,20.0,113.0,1,1,1,20.0,60.0,1.0,17.0,32.61,0,1,1,93,1,2.0,0,20.0,1,1.0,20.0,1100.0,88,1,0,20.0,2.16,1,20.0,1.0,1319.0,59.0,3.0,57.0,91.0,0,0,13.0,20.0,0,15.0,4,85
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0,3,20.0,122.0,2,1,1,20.0,55.0,1.0,1.0,25.81,1,1,1,78,1,13.0,0,20.0,1,1.0,20.0,2200.0,91,1,1,20.0,1.8,1,20.0,1.0,277.0,57.0,3.0,91.0,45.0,1,1,15.0,20.0,1,16.0,5,147
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,4,20.0,106.0,2,1,1,20.0,33.0,1.0,14.0,31.59,1,1,1,26,1,1.0,0,20.0,1,1.0,20.0,1200.0,102,1,1,20.0,0.7,1,20.0,1.0,834.0,73.0,3.0,122.0,94.0,1,1,15.0,20.0,1,6.0,5,80
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.0,4,20.0,175.0,2,1,1,20.0,29.0,1.0,14.0,42.31,0,1,1,30,1,9.0,0,20.0,1,1.0,20.0,1750.0,101,1,1,20.0,0.8,1,20.0,1.0,1417.0,71.0,3.0,22.0,61.0,1,1,17.0,20.0,1,23.0,6,103
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,4,20.0,110.0,1,1,1,20.0,54.0,1.0,7.0,35.42,1,1,1,36,1,0.0,0,20.0,1,1.0,20.0,1500.0,100,1,1,20.0,0.96,1,20.0,1.0,388.0,60.0,1.0,58.0,112.0,1,1,19.0,20.0,1,23.0,19,79
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.0,3,12.0,32.0,2,1,1,20.0,51.0,1.0,4.0,13.32,1,1,1,134,1,4.0,0,20.0,1,1.0,20.0,1300.0,79,1,1,20.0,5.8,1,9.0,1.0,697.0,43.0,2.0,84.0,50.0,1,1,20.0,20.0,1,15.0,10,65
