,rent_type_合租,rent_type_整租,rent_type_nan,floor,独立卫生间,电视,is_broker,阳台,area,沙发,facilities_null,热水器,衣柜,price,独立阳台,床,crawl_time,独卫,toilet_num,room_num,floor_total,decoration
0,0,1,0,3,0,1,1,0,114,0,0,1,0,3500,0,1,127,0,1,2,6,4
1,0,1,0,1,0,1,0,0,70,0,0,1,0,2700,0,1,133,0,1,2,16,4
2,0,1,0,3,0,1,1,0,50,0,0,1,0,3800,0,1,127,0,1,1,23,2
3,0,1,0,1,0,1,1,0,85,0,0,1,0,4500,0,1,127,0,1,2,21,4
4,0,1,0,1,0,1,1,0,60,0,0,1,0,3200,0,1,127,0,1,2,6,4
5,0,1,0,2,0,1,1,0,90,0,0,1,0,2900,0,1,127,0,1,2,6,3
6,0,1,0,2,0,1,1,0,85,0,0,1,0,2600,0,1,127,0,1,2,6,3
7,0,1,0,2,0,1,1,0,90,0,0,1,0,3600,0,1,127,0,1,2,9,3
8,1,0,0,2,0,1,1,0,12,0,0,1,0,1500,0,1,127,0,1,1,12,3
9,0,1,0,3,0,1,1,0,45,0,0,1,0,4000,0,1,128,0,1,1,6,4
10,0,1,0,1,0,1,1,0,52,0,0,1,0,1600,0,1,127,0,1,2,6,4
11,1,0,0,1,0,1,1,0,26,0,0,1,0,1000,0,1,127,0,1,3,6,4
12,1,0,0,1,0,1,1,0,15,0,0,1,0,800,0,1,147,0,1,3,6,4
13,0,1,0,3,0,1,1,0,96,0,0,1,0,4240,0,1,127,0,1,3,18,4
14,0,1,0,2,0,1,1,0,65,0,0,1,0,4800,0,1,127,0,1,2,6,3
15,0,1,0,1,0,1,1,0,126,0,0,1,0,7000,0,1,127,0,2,3,11,5
16,0,1,0,2,0,0,1,0,101,0,1,0,0,8000,0,0,127,0,1,2,11,3
17,0,1,0,2,0,1,1,0,55,0,0,1,0,2500,0,1,127,0,1,2,6,3
18,1,0,0,1,0,1,1,0,25,0,0,1,0,2000,0,1,127,0,1,2,6,4
19,1,0,0,1,0,1,1,0,18,0,0,1,0,900,0,1,127,0,1,3,18,4
20,0,1,0,3,0,1,1,0,80,0,0,1,0,2500,0,1,147,0,1,2,22,4
21,0,1,0,2,0,1,1,0,68,0,0,1,0,4000,0,1,127,0,1,2,12,3
22,1,0,0,2,0,1,1,0,16,0,0,1,0,750,0,1,127,0,2,3,9,3
23,1,0,0,2,0,1,1,0,25,0,0,1,0,1500,0,1,127,0,1,3,6,3
24,0,1,0,2,0,1,1,0,90,0,0,1,0,2100,0,1,127,0,1,2,6,3
25,0,1,0,2,0,1,1,0,70,0,0,1,0,6500,0,1,127,0,1,2,15,3
26,1,0,0,2,0,1,1,0,8,0,0,1,0,600,0,1,127,0,1,2,15,3
27,0,1,0,2,0,0,1,0,128,0,0,0,0,6500,0,1,129,0,2,3,9,3
28,0,1,0,3,0,1,1,0,98,0,0,1,0,2600,0,1,127,0,1,2,26,5
29,0,1,0,2,0,1,1,0,70,0,0,1,0,5000,0,1,127,0,1,1,18,3
30,0,1,0,3,0,1,1,0,86,0,0,1,0,4300,0,1,127,0,1,2,10,4
31,0,1,0,2,0,1,1,0,20,0,0,1,0,900,0,1,127,0,2,3,16,3
32,1,0,0,2,0,1,1,0,26,0,0,1,0,2200,0,1,127,0,1,3,24,3
33,1,0,0,2,0,1,1,0,30,0,0,1,0,2000,0,1,127,0,2,3,6,3
34,1,0,0,2,0,1,1,0,20,0,0,1,0,2000,0,1,127,0,1,2,6,3
35,0,1,0,3,0,1,1,0,80,0,0,1,0,1700,0,1,127,0,1,2,33,5
36,0,1,0,3,0,1,1,0,58,0,0,1,0,5700,0,1,127,0,1,1,13,4
37,0,1,0,1,0,1,1,0,120,0,0,1,0,5700,0,1,127,0,1,3,32,4
38,1,0,0,3,0,1,1,0,90,0,0,1,0,1350,0,1,127,0,1,3,18,4
39,0,1,0,2,0,1,1,0,60,0,0,1,0,3000,0,1,127,0,1,1,15,3
40,0,1,0,2,0,1,1,0,22,0,0,1,0,1000,0,1,127,0,2,4,6,3
41,0,1,0,2,0,1,1,0,98,0,0,1,0,5400,0,1,127,0,1,2,28,3
42,1,0,0,2,0,1,1,0,19,0,0,1,0,1800,0,1,127,0,1,3,23,3
43,1,0,0,2,0,1,1,0,15,0,0,1,0,1500,0,1,127,0,1,3,20,3
44,0,1,0,1,0,1,1,0,15,0,0,1,0,2420,0,1,127,0,1,1,12,4
45,0,1,0,3,0,1,1,0,60,0,0,1,0,4650,0,1,127,0,1,2,6,4
46,0,1,0,2,0,1,1,0,93,0,0,1,0,16000,0,1,127,0,1,1,21,3
47,0,1,0,1,0,1,1,0,12,0,0,1,0,900,0,1,127,0,1,1,23,4
48,0,1,0,3,0,1,1,0,65,0,0,1,0,5800,0,1,128,0,1,1,23,4
49,0,1,0,2,0,1,1,0,86,0,0,1,0,3500,0,1,129,0,1,2,18,3
50,1,0,0,1,0,1,1,0,16,0,0,1,0,1700,0,1,127,0,1,3,6,4
51,1,0,0,2,0,1,1,0,25,0,0,1,0,3000,0,1,127,0,2,3,31,3
52,0,1,0,1,0,1,1,0,89,0,0,1,0,1000,0,1,129,0,1,2,6,4
53,0,1,0,2,0,1,1,0,76,0,0,1,0,2500,0,1,127,0,1,1,15,3
54,0,1,0,2,0,1,1,0,87,0,0,1,0,7800,0,1,147,0,1,2,30,3
55,0,1,0,2,0,1,1,0,73,0,0,1,0,4000,0,1,127,0,1,2,6,3
56,0,1,0,2,0,1,1,0,150,0,0,1,0,15500,0,1,127,0,2,3,15,3
57,0,1,0,2,0,1,1,0,66,0,0,1,0,8500,0,1,127,0,1,1,28,3
58,1,0,0,1,0,1,1,0,18,0,0,1,0,950,0,1,127,0,1,2,20,4
59,1,0,0,1,0,1,1,0,28,0,0,1,0,1400,0,1,127,0,1,4,7,4
60,1,0,0,1,0,1,1,0,25,0,0,1,0,2300,0,1,127,0,1,4,18,4
61,0,1,0,2,0,1,1,0,63,0,0,1,0,1800,0,1,127,0,1,1,18,3
62,0,1,0,2,0,1,1,0,70,0,0,1,0,8500,0,1,127,0,1,1,26,3
63,0,1,0,2,0,1,1,0,65,0,0,1,0,5000,0,1,127,0,1,2,6,3
64,0,1,0,1,0,1,1,0,85,0,0,1,0,7800,0,1,127,0,1,3,12,4
65,1,0,0,2,0,1,1,0,25,0,0,1,0,1600,0,1,282,0,2,3,29,3
66,0,1,0,1,0,1,1,0,65,0,0,1,0,5200,0,1,127,0,1,2,6,4
67,0,1,0,1,0,1,1,0,25,0,0,1,0,2200,0,1,127,0,2,3,22,4
68,1,0,0,2,0,1,1,0,20,0,0,1,0,1100,0,1,127,0,1,3,12,3
69,0,1,0,2,0,1,1,0,127,0,0,1,0,18000,0,1,127,0,2,3,22,3
70,0,1,0,2,0,1,1,0,161,0,0,1,0,11000,0,1,127,0,2,3,17,3
71,0,1,0,1,0,1,1,0,88,0,0,1,0,2500,0,1,127,0,1,2,16,4
72,0,1,0,3,0,1,1,0,130,0,0,1,0,14000,0,1,127,0,2,2,30,4
