,direction_东,direction_东北,direction_东南,direction_东西,direction_北,direction_南,direction_南北,direction_西,direction_西北,direction_西南,direction_nan,district_东城,district_丰台,district_北京周边,district_大兴,district_宣武,district_密云,district_崇文,district_平谷,district_延庆,district_怀柔,district_房山,district_昌平,district_朝阳,district_海淀,district_燕郊,district_石景山,district_西城,district_通州,district_门头沟,district_顺义,district_nan,rent_type_合租,rent_type_整租,rent_type_nan,pay_type_年付,pay_type_押一付一,pay_type_押一付三,pay_type_押一付二,pay_type_押一付半年,pay_type_押一付年,pay_type_押二付三,pay_type_押二付二,pay_type_押零付半年,pay_type_nan,floor,独立卫生间,电视,is_broker,阳台,area,沙发,facilities_null,热水器,衣柜,price,独立阳台,床,crawl_time,独卫,toilet_num,room_num,floor_total,冰箱,宽带网,空调,洗衣机,可做饭,hall_num,微波炉,暖气,decoration,one_room_area,one_area_price
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,114.0,0,0,1,0,3500.0,0,1,127,0,1.0,2.0,6.0,1,1,1,1,0,2.0,0,1,4,57,31
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,70.0,0,0,1,0,2700.0,0,1,133,0,1.0,2.0,16.0,1,1,1,1,0,1.0,0,1,4,35,39
2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,50.0,0,0,1,0,3800.0,0,1,127,0,1.0,1.0,23.0,1,1,1,1,0,1.0,0,1,2,50,76
3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,85.0,0,0,1,0,4500.0,0,1,127,0,1.0,2.0,21.0,1,1,1,1,0,1.0,0,1,4,42,53
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,60.0,0,0,1,0,3200.0,0,1,127,0,1.0,2.0,6.0,1,1,1,1,0,1.0,0,1,4,30,53
5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,90.0,0,0,1,0,2900.0,0,1,127,0,1.0,2.0,6.0,1,1,1,1,0,1.0,0,1,3,45,32
6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,85.0,0,0,1,0,2600.0,0,1,127,0,1.0,2.0,6.0,1,1,1,1,0,1.0,0,1,3,42,31
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,90.0,0,0,1,0,3600.0,0,1,127,0,1.0,2.0,9.0,1,1,1,1,0,1.0,0,1,3,45,40
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,12.0,0,0,1,0,1500.0,0,1,127,0,1.0,1.0,12.0,1,1,1,1,0,1.0,0,1,3,12,125
9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,45.0,0,0,1,0,4000.0,0,1,128,0,1.0,1.0,6.0,1,1,1,1,0,1.0,0,1,4,45,89
