,id, crawl_time, district, zone, rent_type, room_type, price, area, room_num, hall_num, toilet_num, floor, floor_total, direction, decoration,facilities,"
pay_type", is_broker, agency_name, subway, bus
0,5a2d5fff9d3e615298a5b71a,2017-12-11 00:25:35.492,西城,西单,整租,NULL,1650.0,18.0,1,NULL,NULL,,1,南北,精,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网,押一付三,1,北京久宏房地产经纪有限公司,NULL,"NULL
"
1,5a2d69959d3e615297ec78a0,2017-12-11 01:06:29.691,昌平,北七家,整租,NULL,3500.0,114.0,2,2,1,高,6,南北,精,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网,押一付三,1,北京万众恒基升泰房地产经纪有限公司,NULL,"NULL
"
2,5a25b4ab9d3e6117d024c652,2017-12-05 04:48:43.417,石景山,金顶街,整租,NULL,2700.0,70.0,2,1,1,低,16,南,精,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网,押一付三,0,NULL,NULL,"NULL
"
3,5a2d69c59d3e615298a6d6b9,2017-12-11 01:07:17.251,丰台,成寿寺,整租,NULL,3800.0,50.0,1,NULL,NULL,高,23,东,简,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网,押一付三,1,北京爱屋吉屋房地产经纪有限公司,NULL,"NULL
"
4,5a2d693fd4d59021f742d195,2017-12-11 01:05:03.402,丰台,方庄,合租,NULL,1700.0,18.0,NULL,NULL,NULL,中,13,北,中,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网,押一付三,1,北京嘉和置业房地产经纪有限公司,NULL,"NULL
"
5,59d1aa2a33f035557c6c82a5,2017-10-02 10:53:30.595,朝阳,呼家楼,合租,NULL,499.0,18.0,3,NULL,NULL,中,6,东南,中,电视|空调|热水器|洗衣机|冰箱|床|暖气,NULL,1,心顺志诚,NULL,"NULL
"
6,5a2d726d9d3e615298a7e449,2017-12-11 01:44:13.97,丰台,宋家庄,整租,NULL,4500.0,85.0,2,1,1,低,21,南北,精,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网,押一付三,1,北京爱屋吉屋房地产经纪有限公司,NULL,"NULL
"
7,5a2d73bad4d5902184a2967a,2017-12-11 01:49:46.002,石景山,古城,整租,NULL,3200.0,60.0,2,1,1,低,6,南北,精,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网,押一付三,1,北京搜房科技发展有限公司,NULL,"NULL
"
8,5a2d636a9d3e615298a6171b,2017-12-11 00:40:10.203,通州,果园,整租,NULL,2900.0,90.0,2,1,1,中,6,南北,中,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网,押一付三,1,北京爱屋吉屋房地产经纪有限公司,NULL,"NULL
"
9,5a2d6f679d3e615298a78851,2017-12-11 01:31:19.986,通州,梨园,整租,NULL,2600.0,85.0,2,1,1,中,6,南北,中,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网,押一付三,1,北京爱屋吉屋房地产经纪有限公司,NULL,"NULL
"
10,5a2d6c91d4d59021f7430dc7,2017-12-11 01:19:13.856,朝阳,其他,整租,NULL,3600.0,90.0,2,1,1,中,9,南北,中,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网,押一付三,1,北京典盛置地房地产经纪有限公司,NULL,"NULL
"
11,5a2d651ed4d59021f36c17a0,2017-12-11 00:47:26.768,通州,永顺,合租,NULL,1500.0,12.0,1,NULL,NULL,中,12,南北,中,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网,押一付三,1,北京圣爱之家房地产经纪有限公司,NULL,"NULL
"
